INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python, Name=Python, size=4096, date=2017-11-23 14:20:48
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous, Name=Anonymous, size=4096, date=2017-11-30 14:07:20
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.gitignore, Name=.gitignore, size=12, date=2017-11-30 14:05:17
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\log.conf, Name=log.conf, size=499, date=2017-11-30 14:00:32
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\logs.log, Name=logs.log, size=0, date=2017-11-30 14:00:32
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\main.py, Name=main.py, size=279, date=2017-11-30 14:07:20
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\README.md, Name=README.md, size=14, date=2017-11-23 14:24:43
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git, Name=.git, size=4096, date=2017-11-30 14:07:21
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\COMMIT_EDITMSG, Name=COMMIT_EDITMSG, size=16, date=2017-11-30 14:05:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\config, Name=config, size=266, date=2017-11-23 14:25:48
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\description, Name=description, size=73, date=2017-11-23 14:21:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\FETCH_HEAD, Name=FETCH_HEAD, size=98, date=2017-11-30 13:52:19
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\HEAD, Name=HEAD, size=23, date=2017-11-23 14:21:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\index, Name=index, size=1358, date=2017-11-30 14:06:33
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\ORIG_HEAD, Name=ORIG_HEAD, size=41, date=2017-11-30 13:52:19
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\branches, Name=branches, size=0, date=2017-11-23 14:21:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\hooks, Name=hooks, size=4096, date=2017-11-23 14:21:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\hooks\applypatch-msg.sample, Name=applypatch-msg.sample, size=478, date=2017-11-23 14:21:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\hooks\commit-msg.sample, Name=commit-msg.sample, size=896, date=2017-11-23 14:21:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\hooks\post-update.sample, Name=post-update.sample, size=189, date=2017-11-23 14:21:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\hooks\pre-applypatch.sample, Name=pre-applypatch.sample, size=424, date=2017-11-23 14:21:54
